wolves, wolfes, wolvs, wolevs
women, womin, wommen, womn
geese, gese, geeses
knew, kniw, kew, nkew
knives, nives, nivs, knivs
sheep, shep, shepe, sheip,
wives, wifes, wivs, wifse
know, nkow, knowe
feet, feete, fett, fet,
heroes, heros, herros, herroes
elves, eles, elfs, elfes, elvis,
instead, insted, instede, instaed, instad
men, mene, meen, mein,
scarves, scarfes, skarves, scarvs, scarfs, skarfs, skarfes
banjos, banjoes, banjoss, bangos
letter, leter, lettre, letre
children, childrens, chidlren, cheldrin,
mice, mise, mices, miice
halves, halfes, halvs, halfs, hafles
library, lidrary, libary, libray
